2016-11-14_10:35:21,67,22
2016-11-14_10:35:22,77,22
2016-11-14_10:35:22,44,22
2016-11-14_10:35:23,55,22
2016-11-14_10:35:23,39,22
2016-11-14_10:35:24,65,22
2016-11-14_10:35:24,46,22
2016-11-14_10:35:25,66,22
2016-11-14_10:35:26,88,22
2016-11-14_10:35:26,64,22
2016-11-14_10:35:27,65,22
2016-11-14_10:35:27,51,22
2016-11-14_10:35:28,47,22
2016-11-14_10:35:28,82,22
2016-11-14_10:35:29,53,22
2016-11-14_10:35:29,94,22
2016-11-14_10:35:30,34,22
2016-11-14_10:35:31,52,22
2016-11-14_10:35:31,35,22
2016-11-14_10:35:32,91,22
2016-11-14_10:35:32,57,22
2016-11-14_10:35:33,33,22
2016-11-14_10:35:33,80,22
2016-11-14_10:35:34,80,22
2016-11-14_10:35:34,84,22
2016-11-14_10:35:35,67,22
2016-11-14_10:35:36,68,22
2016-11-14_10:35:36,62,22
2016-11-14_10:35:37,55,22
2016-11-14_10:35:37,69,22
2016-11-14_10:35:38,86,22
2016-11-14_10:35:38,111,22
2016-11-14_10:35:39,63,22
2016-11-14_10:35:39,76,22
2016-11-14_10:35:40,65,22
2016-11-14_10:35:41,68,22
2016-11-14_10:35:41,61,22
2016-11-14_10:35:42,97,22
2016-11-14_10:35:42,53,22
2016-11-14_10:35:43,65,22
2016-11-14_10:35:43,65,22
2016-11-14_10:35:44,89,22
2016-11-14_10:35:45,71,22
2016-11-14_10:35:45,64,22
2016-11-14_10:35:46,52,22
2016-11-14_10:35:46,82,22
2016-11-14_10:35:47,61,22
2016-11-14_10:35:47,87,22
2016-11-14_10:35:48,68,22
2016-11-14_10:35:48,100,22
2016-11-14_10:35:49,54,22
2016-11-14_10:35:49,66,22
2016-11-14_10:35:50,54,22
2016-11-14_10:35:51,67,22
2016-11-14_10:35:51,85,22
2016-11-14_10:35:52,65,22
2016-11-14_10:35:52,71,22
2016-11-14_10:35:53,58,22
2016-11-14_10:35:53,57,22
2016-11-14_10:35:54,110,22
2016-11-14_10:35:54,73,22
2016-11-14_10:35:55,68,22
2016-11-14_10:35:56,54,22
2016-11-14_10:35:56,82,22
2016-11-14_10:35:57,61,22
2016-11-14_10:35:57,95,22
2016-11-14_10:35:58,59,22
2016-11-14_10:35:58,66,22
2016-11-14_10:35:59,71,22
2016-11-14_10:35:59,99,22
2016-11-14_10:36:00,39,22
2016-11-14_10:36:00,73,22
2016-11-14_10:36:01,69,22
2016-11-14_10:36:02,72,22
2016-11-14_10:36:02,77,22
2016-11-14_10:36:03,58,22
2016-11-14_10:36:03,70,22
2016-11-14_10:36:04,67,22
2016-11-14_10:36:04,68,22
2016-11-14_10:36:05,88,22
2016-11-14_10:36:05,75,22
2016-11-14_10:36:06,73,22
2016-11-14_10:36:07,52,22
2016-11-14_10:36:07,55,22
2016-11-14_10:36:08,77,22
2016-11-14_10:36:08,74,22
2016-11-14_10:36:09,67,22
2016-11-14_10:36:09,88,22
2016-11-14_10:36:10,58,22
2016-11-14_10:36:10,76,22
2016-11-14_10:36:11,67,22
2016-11-14_10:36:11,72,22
2016-11-14_10:36:12,70,22
2016-11-14_10:36:13,87,22
2016-11-14_10:36:13,56,22
2016-11-14_10:36:14,53,22
2016-11-14_10:36:14,51,22
2016-11-14_10:36:15,71,22
2016-11-14_10:36:15,81,22
2016-11-14_10:36:16,59,22
2016-11-14_10:36:16,86,22
2016-11-14_10:36:17,40,22
2016-11-14_10:36:18,75,22
2016-11-14_10:36:18,58,22
2016-11-14_10:38:27,92,21
2016-11-14_10:38:28,64,21
2016-11-14_10:38:28,63,21
2016-11-14_10:38:29,26,21
2016-11-14_10:38:29,79,21
2016-11-14_10:38:30,83,21
2016-11-14_10:38:30,105,21
2016-11-14_10:38:31,84,21
2016-11-14_10:38:32,106,21
2016-11-14_10:38:32,78,21
2016-11-14_10:38:33,74,21
2016-11-14_10:38:33,66,21
2016-11-14_10:38:34,54,21
2016-11-14_10:38:34,55,21
2016-11-14_10:38:35,58,21
2016-11-14_10:38:35,87,21
2016-11-14_10:38:36,74,21
2016-11-14_10:38:37,98,21
2016-11-14_10:38:37,125,21
2016-11-14_10:38:38,57,21
2016-11-14_10:38:38,66,21
2016-11-14_10:38:39,65,21
2016-11-14_10:38:39,76,21
2016-11-14_10:38:40,64,21
2016-11-14_10:38:40,94,21
2016-11-14_10:38:41,30,21
2016-11-14_10:38:42,72,21
2016-11-14_10:38:42,75,21
2016-11-14_10:38:43,64,21
2016-11-14_10:38:43,55,21
2016-11-14_10:38:44,39,21
2016-11-14_10:38:44,93,21
2016-11-14_10:38:45,51,21
2016-11-14_10:38:45,80,21
2016-11-14_10:38:46,71,21
2016-11-14_10:38:46,64,21
2016-11-14_10:38:47,39,21
2016-11-14_10:38:48,84,21
2016-11-14_10:38:48,97,21
2016-11-14_10:38:49,61,21
2016-11-14_10:38:49,89,21
2016-11-14_10:38:50,78,21
2016-11-14_10:38:50,56,21
2016-11-14_10:38:51,75,21
2016-11-14_10:38:51,45,21
2016-11-14_10:38:52,73,21
2016-11-14_10:38:52,55,21
2016-11-14_10:38:53,101,21
2016-11-14_10:38:54,73,21
2016-11-14_10:38:54,39,21
2016-11-14_10:38:55,57,21
2016-11-14_10:38:55,44,21
2016-11-14_10:38:56,38,21
2016-11-14_10:38:56,72,21
2016-11-14_10:38:57,43,21
2016-11-14_10:38:57,62,21
2016-11-14_10:38:58,81,21
2016-11-14_10:38:58,68,21
2016-11-14_10:38:59,70,21
2016-11-14_10:39:00,61,21
2016-11-14_10:39:00,80,21
2016-11-14_10:39:01,48,21
2016-11-14_10:39:01,70,21
2016-11-14_10:39:02,57,21
2016-11-14_10:39:02,85,21
2016-11-14_10:39:03,104,21
2016-11-14_10:39:03,84,21
2016-11-14_10:39:04,62,21
2016-11-14_10:39:04,23,21
2016-11-14_10:39:05,74,21
2016-11-14_10:39:06,63,21
2016-11-14_10:39:06,57,21
2016-11-14_10:39:07,80,21
2016-11-14_10:39:07,44,21
2016-11-14_10:39:08,75,21
2016-11-14_10:39:08,55,21
2016-11-14_10:39:09,57,21
2016-11-14_10:39:09,26,21
2016-11-14_10:39:10,80,21
2016-11-14_10:39:10,36,21
2016-11-14_10:39:11,76,21
2016-11-14_10:39:11,36,21
2016-11-14_10:39:12,71,21
2016-11-14_10:39:13,57,21
2016-11-14_10:39:13,56,21
2016-11-14_10:39:14,61,21
2016-11-14_10:39:14,67,21
2016-11-14_10:39:15,58,21
2016-11-14_10:39:15,92,21
2016-11-14_10:39:16,47,21
2016-11-14_10:39:16,45,21
2016-11-14_10:39:17,78,21
2016-11-14_10:39:17,30,21
2016-11-14_10:39:18,76,21
2016-11-14_10:39:18,78,21
2016-11-14_10:39:19,63,21
2016-11-14_10:39:20,91,21
2016-11-14_10:39:20,46,21
2016-11-14_10:39:21,62,21
2016-11-14_10:39:21,37,21
2016-11-14_10:39:22,75,21
2016-11-14_10:39:22,77,21
2016-11-14_10:39:23,47,21
2016-11-14_10:39:23,32,21
2016-11-14_10:39:24,66,21
2016-11-14_10:39:25,51,21
2016-11-14_10:39:25,29,21
2016-11-14_10:39:26,45,21
2016-11-14_10:39:26,73,21
2016-11-14_10:39:27,59,21
2016-11-14_10:39:27,78,21
2016-11-14_10:39:28,63,21
2016-11-14_10:39:28,56,21
2016-11-14_10:39:29,85,21
2016-11-14_10:39:30,81,21
2016-11-14_10:39:30,53,21
2016-11-14_10:39:31,81,21
2016-11-14_10:39:31,60,21
2016-11-14_10:39:32,44,21
2016-11-14_10:39:32,47,21
2016-11-14_10:39:33,70,21
2016-11-14_10:39:33,66,21
2016-11-14_10:39:34,46,21
2016-11-14_10:39:34,59,21
2016-11-14_10:39:35,56,21
2016-11-14_10:39:35,58,21
2016-11-14_10:39:36,57,21
2016-11-14_10:39:37,77,21
2016-11-14_10:39:37,76,21
2016-11-14_10:39:38,56,21
2016-11-14_10:39:38,39,21
2016-11-14_10:39:39,47,21
2016-11-14_10:39:39,60,21
2016-11-14_10:39:40,73,21
2016-11-14_10:39:40,104,21
2016-11-14_10:39:41,168,21
2016-11-14_10:39:41,51,21
2016-11-14_10:39:42,75,21
2016-11-14_10:39:43,28,21
2016-11-14_10:39:43,76,21
2016-11-14_10:39:44,81,21
2016-11-14_10:39:44,57,21
2016-11-14_10:39:45,64,21
2016-11-14_10:39:45,30,21
2016-11-14_10:42:48,56,21
2016-11-14_10:42:49,74,21
2016-11-14_10:42:49,75,21
2016-11-14_10:42:50,54,21
2016-11-14_10:42:51,79,21
2016-11-14_10:42:51,71,21
2016-11-14_10:42:52,75,21
2016-11-14_10:42:52,60,21
2016-11-14_10:42:53,69,21
2016-11-14_10:42:53,64,21
2016-11-14_10:42:54,64,21
2016-11-14_10:42:54,70,21
2016-11-14_10:42:55,55,21
2016-11-14_10:42:56,74,21
2016-11-14_10:42:56,97,21
2016-11-14_10:42:57,96,21
2016-11-14_10:45:50,101,19
2016-11-14_10:45:50,65,19
2016-11-14_10:45:51,73,19
2016-11-14_10:45:51,83,19
2016-11-14_10:45:52,58,19
2016-11-14_10:45:53,88,19
2016-11-14_10:46:00,70,20
2016-11-14_10:46:00,45,20
2016-11-14_10:46:01,49,20
2016-11-14_10:46:01,50,20
2016-11-14_10:46:02,58,20
2016-11-14_10:46:02,58,20
2016-11-14_10:46:03,72,20
2016-11-14_10:46:04,60,20
2016-11-14_10:46:04,63,20
2016-11-14_10:46:05,74,20
2016-11-14_10:46:05,94,20
2016-11-14_10:46:06,58,20
2016-11-14_10:46:06,96,20
2016-11-14_10:46:07,33,20
2016-11-14_10:46:07,55,20
2016-11-14_10:46:08,92,20
2016-11-14_10:46:09,87,20
2016-11-14_10:46:09,71,20
2016-11-14_10:46:10,85,20
2016-11-14_10:46:10,96,20
2016-11-14_10:46:11,97,20
2016-11-14_10:46:11,45,20
2016-11-14_10:46:12,37,20
2016-11-14_10:46:12,75,20
2016-11-14_10:46:13,63,20
2016-11-14_10:46:26,26,20
2016-11-14_10:46:26,73,20
2016-11-14_10:46:27,59,20
2016-11-14_10:46:28,44,20
2016-11-14_10:46:28,65,20
2016-11-14_10:46:38,73,20
2016-11-14_10:46:38,53,20
2016-11-14_10:46:39,47,20
2016-11-14_10:46:39,75,20
2016-11-14_10:46:49,62,20
2016-11-14_10:46:49,48,20
2016-11-14_10:46:50,101,20
2016-11-14_10:46:50,65,20
2016-11-14_10:46:51,115,20
2016-11-14_10:46:52,73,20
2016-11-14_10:46:52,25,20
2016-11-14_10:46:53,121,20
2016-11-14_10:46:53,40,20
2016-11-14_10:46:54,81,20
2016-11-14_10:46:54,75,20
2016-11-14_10:46:55,56,20
2016-11-14_10:46:55,69,20
2016-11-14_10:46:56,27,20
2016-11-14_10:46:57,74,20
2016-11-14_10:46:57,49,20
2016-11-14_10:46:58,74,20
2016-11-14_10:46:58,80,20
2016-11-14_10:46:59,70,20
2016-11-14_10:46:59,83,20
2016-11-14_10:47:00,65,20
2016-11-14_10:47:00,64,20
2016-11-14_10:47:01,62,20
2016-11-14_10:47:02,65,20
2016-11-14_10:47:02,53,20
